priority,brokerage,city_or_scope,fsp_number,public_email,phone,status,fit_notes,source_url,last_action,next_action
B,Blaauwberg Financial Advisors,Cape Town / South Africa,54654,stephan@b-fa.co.za,+27 10 017 0970,not_contacted,Independent short-term specialist serving private and corporate customers nationally,https://www.blaauwbergfinancialadvisors.co.za/,,Approach owner/adviser directly
B,Associated Insurance Brokers,Johannesburg,19819,aibinfo@icapital.co.za,+27 11 883 2400,not_contacted,Established short-term corporate commercial and domestic brokerage,https://aib.za.com/,,Verify current legal entity/FSP presentation before outreach
B,DVKM Insurance Brokers,Lenasia / Johannesburg,42002,kugulanpillay@dvkm.co.za,011 857 1719,not_contacted,Independent multi-disciplinary broker serving personal business and family protection needs,https://www.dvkm.co.za/,,Approach director
B,Danie Brynard Brokers,Cape Town / nationwide,47457,info@dbbrokers.co.za,+27 87 700 2033,not_contacted,National capability and broad long-term financial-services footprint,https://www.dbbrokers.co.za/,,Approach management
B,Garrun Group,Johannesburg / branch network,44669,info@garrun-group.co.za,011 694 5000,not_contacted,Large independent group with branch network; potential enterprise partner,https://www.garrun-group.co.za/,,Approach group business development
B,JFA Shortterm Brokers,Cape Town,44254,insure@farelo.co.za,021 551 1741,not_contacted,Independent personal and commercial short-term broker,https://jfagroup.co.za/,,Approach owner/management
B,LAL Insurance Brokers,Pretoria,23565,leigh@lalbrokers.co.za,012 346 3224,not_contacted,Independent Pretoria brokerage; good small-broker network fit,https://lalbrokers.co.za/contact/,,Approach principal
B,PROCON Insurance Brokers,Pretoria,4176,procon@lantic.net,012 332 0853,not_contacted,Long-established independent adviser and broker with family/business focus,https://proconinsurance.co.za/,,Approach principal
B,FC Forsure Insurance Brokers,Pretoria,48362,info@fcfin.co.za,012 807 1714,not_contacted,Part of broader financial group; potential cross-sell and broker-tech fit,https://www.fcfin.co.za/,,Approach insurance division management
B,HJL Insurance Brokers,Durban North,53421,info@hjl.co.za,031 561 3847,not_contacted,Commercial and personal brokerage with strong responsiveness positioning,https://www.hjl.co.za/contact-forms,,Approach management
B,HTI Insurance Brokers,Durban,12780,john@hti.co.za,031 277 3500,not_contacted,Authorised for personal and commercial short-term lines,https://hti.co.za/disclosure-notice/,,Approach principal
B,Holburn Insurance Brokers,Durban / Kloof,30634,info@holburn.co.za,031 764 3870,not_contacted,Established broker with broad product permissions and strong compliance disclosure,https://www.holburn.co.za/fsp.htm,,Approach management
B,Risk Sure Insurance Brokers,Ballito / KZN / Johannesburg remote,46983,info@risksuregroup.co.za,0861 00 7475,not_contacted,Personal and business risk brokerage with multi-region reach,https://risksuregroup.co.za/contact-us/,,Approach management
B,Kayser Baird Insurance Brokers,Durban / Cape Town,8257,info@kbi.co.za,031 767 8000,not_contacted,Established dual-location broker with commercial capability,https://www.kbi.co.za/,,Approach management
B,IJ Duncan Insurance Brokers,Durban / nationwide,13499,info@duncaninsurance.co.za,031 305 1410,not_contacted,Long-established national broker and FIA member,https://duncaninsurance.co.za/our-team/,,Approach directors
B,Ambiton Financial Services,Gqeberha,Licensed FSP stated,Marketing@ambiton.co.za,+27 41 581 7170,not_contacted,Independent adviser with short-term personal/commercial and strong client-education positioning,https://ambiton.aligndesigns.co.za/short-term-insurance/,,Confirm FSP number then approach management
C,Bobats Wealth Solutions,Durban,8201,info@bobats.co.za,+27 31 309 7861,not_contacted,Long-established financial services and insurance broker,https://bobats.co.za/,,Approach management
C,Buckton Insurance Brokers,Kempton Park / East Rand,54217,jody@bucktonbrokers.co.za,011 391 8559,not_contacted,Independent East Rand broker; useful local network-density partner,https://www.bucktonbrokers.co.za/contact-us/,,Approach team lead
C,Astra Insurance Brokers,Johannesburg,50816,info@astrainsurance.co.za,+27 11 513 3008,not_contacted,Authorised brokerage in Fourways; verify legal relationship with similarly numbered entities before onboarding,https://astrainsurance.co.za/contact-us/,,Approach after verification check
C,Lionel Isaacs Insurance Brokers,Johannesburg,13343,insurance@liib.co.za,011 483 1802,not_contacted,Established authorised personal/commercial short-term broker,https://www.liib.co.za/,,Approach management
C,SA Brokers Insure,Durban / Mount Edgecombe,47432,info@sabrokersinsure.co.za,031 502 2059,not_contacted,Broad personal and business categories; regional network fit,https://www.brokerdirectory.co.za/listing.php?listings_id=2145701,,Verify official site and FSCA record before outreach
C,Total Risk Solutions,Durban,46771,info@trsib.co.za,031 309 1891,not_contacted,Personal and commercial risk broker; regional capacity,https://www.brokerdirectory.co.za/listing.php?listings_id=2144591,,Verify official site and FSCA record before outreach
C,DM Africa Holdings,Durban / Westville,52346,info@dmafrica.co.za,032 866 0362,not_contacted,Level 1 B-BBEE broker listing with personal/home/general cover,https://www.brokerdirectory.co.za/listing.php?listings_id=2145628,,Verify official site and FSCA record before outreach
C,PJD Financial Capital,South Africa,27555,info@pjdinsurance.co.za,+27 65 891 6158,not_contacted,Underwriting/broker-platform specialist; potential infrastructure rather than ordinary broker partner,https://pjdinsurance.co.za/,,Explore strategic underwriting/platform partnership
C,firstEquity Group,Johannesburg / Durban / Cape Town,5227,info@firstequity.co.za,011 510 1300,not_contacted,Large specialist/reinsurance group; potential enterprise or strategic partner,https://www.firstequity.co.za/the-group/,,Approach business development after smaller pilots
